threshold,f1,precision,recall,accuracy,tp,fp,tn,fn
0.0,0.9921875,1.0,0.9844961240310077,0.9922480620155039,254,0,258,4
0.001,1.0,1.0,1.0,1.0,258,0,258,0
0.002,1.0,1.0,1.0,1.0,258,0,258,0
0.003,1.0,1.0,1.0,1.0,258,0,258,0
0.004,1.0,1.0,1.0,1.0,258,0,258,0
0.005,1.0,1.0,1.0,1.0,258,0,258,0
0.006,1.0,1.0,1.0,1.0,258,0,258,0
0.007,1.0,1.0,1.0,1.0,258,0,258,0
0.008,1.0,1.0,1.0,1.0,258,0,258,0
0.009,1.0,1.0,1.0,1.0,258,0,258,0
0.01,1.0,1.0,1.0,1.0,258,0,258,0
0.011,1.0,1.0,1.0,1.0,258,0,258,0
0.012,1.0,1.0,1.0,1.0,258,0,258,0
0.013,1.0,1.0,1.0,1.0,258,0,258,0
0.014,1.0,1.0,1.0,1.0,258,0,258,0
0.015,1.0,1.0,1.0,1.0,258,0,258,0
0.016,1.0,1.0,1.0,1.0,258,0,258,0
0.017,1.0,1.0,1.0,1.0,258,0,258,0
0.018,1.0,1.0,1.0,1.0,258,0,258,0
0.019,1.0,1.0,1.0,1.0,258,0,258,0
0.02,1.0,1.0,1.0,1.0,258,0,258,0
0.021,1.0,1.0,1.0,1.0,258,0,258,0
0.022,1.0,1.0,1.0,1.0,258,0,258,0
0.023,1.0,1.0,1.0,1.0,258,0,258,0
0.024,1.0,1.0,1.0,1.0,258,0,258,0
0.025,1.0,1.0,1.0,1.0,258,0,258,0
0.026,1.0,1.0,1.0,1.0,258,0,258,0
0.027,1.0,1.0,1.0,1.0,258,0,258,0
0.028,1.0,1.0,1.0,1.0,258,0,258,0
0.029,1.0,1.0,1.0,1.0,258,0,258,0
0.03,1.0,1.0,1.0,1.0,258,0,258,0
0.031,0.9980657640232108,0.9961389961389961,1.0,0.998062015503876,258,1,257,0
0.032,0.9942196531791908,0.9885057471264368,1.0,0.9941860465116279,258,3,255,0
0.033,0.9942196531791908,0.9885057471264368,1.0,0.9941860465116279,258,3,255,0
0.034,0.9942196531791908,0.9885057471264368,1.0,0.9941860465116279,258,3,255,0
0.035,0.9923076923076923,0.9847328244274809,1.0,0.9922480620155039,258,4,254,0
0.036,0.9923076923076923,0.9847328244274809,1.0,0.9922480620155039,258,4,254,0
0.037,0.9923076923076923,0.9847328244274809,1.0,0.9922480620155039,258,4,254,0
0.038,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.039,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.04,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.041,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.042,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.043,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.044,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.045,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.046,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.047,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.048,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.049,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.05,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.051,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.052,0.9904030710172744,0.9809885931558935,1.0,0.9903100775193798,258,5,253,0
0.053,0.9866156787762906,0.9735849056603774,1.0,0.9864341085271318,258,7,251,0
0.054,0.9847328244274809,0.9699248120300752,1.0,0.9844961240310077,258,8,250,0
0.055,0.9828571428571428,0.9662921348314607,1.0,0.9825581395348837,258,9,249,0
0.056,0.9809885931558935,0.9626865671641791,1.0,0.9806201550387597,258,10,248,0
0.057,0.9809885931558935,0.9626865671641791,1.0,0.9806201550387597,258,10,248,0
0.058,0.9791271347248577,0.9591078066914498,1.0,0.9786821705426356,258,11,247,0
0.059,0.9772727272727273,0.9555555555555556,1.0,0.9767441860465116,258,12,246,0
0.06,0.9772727272727273,0.9555555555555556,1.0,0.9767441860465116,258,12,246,0
0.061,0.9754253308128544,0.9520295202952029,1.0,0.9748062015503876,258,13,245,0
0.062,0.9754253308128544,0.9520295202952029,1.0,0.9748062015503876,258,13,245,0
0.063,0.9735849056603774,0.9485294117647058,1.0,0.9728682170542635,258,14,244,0
0.064,0.9735849056603774,0.9485294117647058,1.0,0.9728682170542635,258,14,244,0
0.065,0.9735849056603774,0.9485294117647058,1.0,0.9728682170542635,258,14,244,0
0.066,0.9717514124293786,0.945054945054945,1.0,0.9709302325581395,258,15,243,0
0.067,0.9699248120300751,0.9416058394160584,1.0,0.9689922480620154,258,16,242,0
0.068,0.9699248120300751,0.9416058394160584,1.0,0.9689922480620154,258,16,242,0
0.069,0.9644859813084112,0.9314079422382672,1.0,0.9631782945736435,258,19,239,0
0.07,0.9626865671641791,0.9280575539568345,1.0,0.9612403100775194,258,20,238,0
0.071,0.9608938547486032,0.9247311827956989,1.0,0.9593023255813954,258,21,237,0
0.072,0.9591078066914498,0.9214285714285714,1.0,0.9573643410852714,258,22,236,0
0.073,0.9573283858998145,0.9181494661921709,1.0,0.9554263565891473,258,23,235,0
0.074,0.9573283858998145,0.9181494661921709,1.0,0.9554263565891473,258,23,235,0
0.075,0.9537892791127541,0.911660777385159,1.0,0.9515503875968992,258,25,233,0
0.076,0.952029520295203,0.9084507042253521,1.0,0.9496124031007752,258,26,232,0
0.077,0.9502762430939227,0.9052631578947369,1.0,0.9476744186046512,258,27,231,0
0.078,0.946788990825688,0.8989547038327527,1.0,0.9437984496124031,258,29,229,0
0.079,0.945054945054945,0.8958333333333334,1.0,0.9418604651162791,258,30,228,0
0.08,0.9416058394160584,0.8896551724137931,1.0,0.937984496124031,258,32,226,0
0.081,0.9398907103825136,0.8865979381443299,1.0,0.936046511627907,258,33,225,0
0.082,0.9381818181818181,0.8835616438356164,1.0,0.9341085271317829,258,34,224,0
0.083,0.9364791288566243,0.8805460750853242,1.0,0.9321705426356589,258,35,223,0
0.084,0.9330922242314648,0.8745762711864407,1.0,0.9282945736434108,258,37,221,0
0.085,0.9297297297297298,0.8686868686868687,1.0,0.9244186046511628,258,39,219,0
0.086,0.9280575539568345,0.8657718120805369,1.0,0.9224806201550387,258,40,218,0
0.087,0.9280575539568345,0.8657718120805369,1.0,0.9224806201550387,258,40,218,0
0.088,0.923076923076923,0.8571428571428571,1.0,0.9166666666666666,258,43,215,0
0.089,0.923076923076923,0.8571428571428571,1.0,0.9166666666666666,258,43,215,0
0.09,0.9214285714285714,0.8543046357615894,1.0,0.9147286821705426,258,44,214,0
0.091,0.9197860962566845,0.8514851485148515,1.0,0.9127906976744186,258,45,213,0
0.092,0.9197860962566845,0.8514851485148515,1.0,0.9127906976744186,258,45,213,0
0.093,0.9181494661921707,0.8486842105263158,1.0,0.9108527131782945,258,46,212,0
0.094,0.91651865008881,0.8459016393442623,1.0,0.9089147286821705,258,47,211,0
0.095,0.91005291005291,0.8349514563106796,1.0,0.9011627906976745,258,51,207,0
0.096,0.91005291005291,0.8349514563106796,1.0,0.9011627906976745,258,51,207,0
0.097,0.9084507042253521,0.832258064516129,1.0,0.8992248062015504,258,52,206,0
0.098,0.9068541300527241,0.8295819935691319,1.0,0.8972868217054264,258,53,205,0
0.099,0.9020979020979021,0.821656050955414,1.0,0.8914728682170543,258,56,202,0
0.1,0.9020979020979021,0.821656050955414,1.0,0.8914728682170543,258,56,202,0
0.101,0.900523560209424,0.819047619047619,1.0,0.8895348837209303,258,57,201,0
0.102,0.8989547038327527,0.8164556962025317,1.0,0.8875968992248062,258,58,200,0
0.103,0.8989547038327527,0.8164556962025317,1.0,0.8875968992248062,258,58,200,0
0.104,0.8989547038327527,0.8164556962025317,1.0,0.8875968992248062,258,58,200,0
0.105,0.8973913043478261,0.8138801261829653,1.0,0.8856589147286822,258,59,199,0
0.106,0.8973913043478261,0.8138801261829653,1.0,0.8856589147286822,258,59,199,0
0.107,0.8973913043478261,0.8138801261829653,1.0,0.8856589147286822,258,59,199,0
0.108,0.8973913043478261,0.8138801261829653,1.0,0.8856589147286822,258,59,199,0
0.109,0.8927335640138409,0.80625,1.0,0.8798449612403101,258,62,196,0
0.11,0.8927335640138409,0.80625,1.0,0.8798449612403101,258,62,196,0
0.111,0.889655172413793,0.8012422360248447,1.0,0.875968992248062,258,64,194,0
0.112,0.889655172413793,0.8012422360248447,1.0,0.875968992248062,258,64,194,0
0.113,0.889655172413793,0.8012422360248447,1.0,0.875968992248062,258,64,194,0
0.114,0.8850771869639794,0.7938461538461539,1.0,0.8701550387596899,258,67,191,0
