split,anchor,same,different
train,data/TAMPAR/test/carpet/id_01_20230523_155234.jpg,data/TAMPAR/test/carpet/id_01_20230523_155255.jpg,data/TAMPAR/test/base/id_18_20230523_171737.jpg
train,data/TAMPAR/test/carpet/id_03_20230523_155640.jpg,data/TAMPAR/test/carpet/id_03_20230523_155646.jpg,data/TAMPAR/test/base/id_18_20230523_171744.jpg
train,data/TAMPAR/test/carpet/id_03_20230523_155640.jpg,data/TAMPAR/test/carpet/id_03_20230523_155707.jpg,data/TAMPAR/test/floor/id_29_20230523_191825.jpg
train,data/TAMPAR/test/carpet/id_03_20230523_155646.jpg,data/TAMPAR/test/carpet/id_03_20230523_155707.jpg,data/TAMPAR/test/base/id_28_20230523_172205.jpg
train,data/TAMPAR/test/carpet/id_04_20230523_155605.jpg,data/TAMPAR/test/carpet/id_04_20230523_155614.jpg,data/TAMPAR/test/floor/id_29_20230523_191815.jpg
train,data/TAMPAR/test/carpet/id_04_20230523_155605.jpg,data/TAMPAR/test/carpet/id_04_20230523_155617.jpg,data/TAMPAR/test/base/id_16_20230523_172106.jpg
train,data/TAMPAR/test/carpet/id_04_20230523_155614.jpg,data/TAMPAR/test/carpet/id_04_20230523_155617.jpg,data/TAMPAR/test/stairs/id_25_20230524_104627.jpg
train,data/TAMPAR/test/carpet/id_05_20230523_155751.jpg,data/TAMPAR/test/carpet/id_05_20230523_155809.jpg,data/TAMPAR/test/carpet/id_07_20230523_155527.jpg
train,data/TAMPAR/test/carpet/id_05_20230523_155751.jpg,data/TAMPAR/test/carpet/id_05_20230523_155814.jpg,data/TAMPAR/test/base/id_17_20230523_171402.jpg
train,data/TAMPAR/test/carpet/id_05_20230523_155809.jpg,data/TAMPAR/test/carpet/id_05_20230523_155814.jpg,data/TAMPAR/test/base/id_23_20230523_172832.jpg
train,data/TAMPAR/test/carpet/id_07_20230523_155506.jpg,data/TAMPAR/test/carpet/id_07_20230523_155527.jpg,data/TAMPAR/test/base/id_12_20230523_171558.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_20_20230523_172415.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/stairs/id_15_20230524_104314.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/base/id_14_20230523_172509.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/base/id_17_20230523_171402.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172754.jpg,data/TAMPAR/test/table/id_26_20230523_185030.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/base/id_10_20230523_172759.jpg,data/TAMPAR/test/base/id_28_20230523_172148.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102501.jpg,data/TAMPAR/test/base/id_25_20230523_172626.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102505.jpg,data/TAMPAR/test/base/id_20_20230523_172411.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102512.jpg,data/TAMPAR/test/base/id_25_20230523_172621.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/cubblestone/id_10_20230524_102523.jpg,data/TAMPAR/test/base/id_16_20230523_172049.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/floor/id_10_20230523_192025.jpg,data/TAMPAR/test/stairs/id_14_20230524_105044.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/floor/id_10_20230524_100228.jpg,data/TAMPAR/test/base/id_23_20230523_172815.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/floor/id_10_20230524_100239.jpg,data/TAMPAR/test/base/id_12_20230523_171540.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/floor/id_10_20230524_100254.jpg,data/TAMPAR/test/base/id_26_20230523_172227.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/stairs/id_10_20230524_104508.jpg,data/TAMPAR/test/floor/id_21_20230523_190846.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/stairs/id_10_20230524_104512.jpg,data/TAMPAR/test/floor/id_25_20230523_191916.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/stairs/id_10_20230524_104524.jpg,data/TAMPAR/test/floor/id_23_20230524_100836.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/stairs/id_10_20230524_104528.jpg,data/TAMPAR/test/table/id_29_20230523_185211.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/table/id_10_20230523_185505.jpg,data/TAMPAR/test/floor/id_11_20230523_191321.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/table/id_10_20230523_185508.jpg,data/TAMPAR/test/base/id_12_20230523_171545.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/table/id_10_20230523_185512.jpg,data/TAMPAR/test/base/id_19_20230523_172928.jpg
train,data/TAMPAR/test/base/id_10_20230523_172730.jpg,data/TAMPAR/test/table/id_10_20230523_185517.jpg,data/TAMPAR/test/cubblestone/id_26_20230524_102843.jpg
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_10_20230523_172737.jpg,data/TAMPAR/test/floor/id_25_20230524_100537.jpg
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_10_20230523_172740.jpg,data/TAMPAR/test/stairs/id_11_20230524_104429.jpg
train,data/TAMPAR/test/base/id_10_20230523_172734.jpg,data/TAMPAR/test/base/id_10_20230523_172748.jpg,data/TAMPAR/test/stairs/id_26_20230524_104354.jpg
