split,path_a,path_b,label
train,data/drive/id_502_IMG_20251025_183540920.jpg,data/drive/id_502_IMG_20251025_183616484.jpg,1
train,data/drive/id_502_IMG_20251025_183353574.jpg,data/drive/id_502_IMG_20251025_183350026.jpg,1
train,data/drive/id_502_IMG_20251025_183547443.jpg,data/drive/id_502_IMG_20251025_183540920.jpg,1
train,data/drive/id_502_IMG_20251025_183540920.jpg,data/drive/id_502_IMG_20251025_183443794.jpg,1
train,data/drive/id_502_IMG_20251025_183529631.jpg,data/drive/id_502_IMG_20251025_183549791.jpg,1
train,data/drive/id_502_IMG_20251025_183616484.jpg,data/TAMPAR/id_20_20230523_185847.jpg,0
train,data/drive/id_502_IMG_20251025_183504894.jpg,data/TAMPAR/id_00_20230516_141354.jpg,0
train,data/drive/id_502_IMG_20251025_183338742.jpg,data/TAMPAR/id_16_20230523_191415.jpg,0
train,data/drive/id_502_IMG_20251025_183417824.jpg,data/TAMPAR/id_01_20230516_142115.jpg,0
train,data/drive/id_502_IMG_20251025_183421433.jpg,data/TAMPAR/id_10_20230524_104508.jpg,0
validation,data/drive/id_501_IMG_3887.jpg,data/drive/id_501_IMG_3892.jpg,1
validation,data/drive/id_501_IMG_3891.jpg,data/drive/id_501_IMG_3900.jpg,1
validation,data/drive/id_501_IMG_3894.jpg,data/drive/id_501_IMG_3885(1).jpg,1
validation,data/drive/id_501_IMG_3886.jpg,data/drive/id_501_IMG_3882.jpg,1
validation,data/drive/id_501_IMG_3897.jpg,data/drive/id_501_IMG_3903.jpg,1
validation,data/drive/id_501_IMG_3893.jpg,data/TAMPAR/id_25_20230523_185647.jpg,0
validation,data/drive/id_501_IMG_3899.jpg,data/TAMPAR/id_29_20230523_171301.jpg,0
validation,data/drive/id_501_IMG_3882.jpg,data/TAMPAR/id_12_20230524_102123.jpg,0
validation,data/drive/id_501_IMG_3891.jpg,data/TAMPAR/id_08_20230523_162556.jpg,0
validation,data/drive/id_501_IMG_3884(1).jpg,data/TAMPAR/id_10_20230524_100228.jpg,0
train,data/drive/id_106_IMG_20251020_141624_BURST7.jpg,data/drive/id_106_IMG_20251020_141630_BURST3.jpg,1
train,data/drive/id_106_IMG_20251020_141630_BURST9.jpg,data/drive/id_106_IMG_20251020_141617_BURST18.jpg,1
train,data/drive/id_106_IMG_20251020_141624_BURST16.jpg,data/drive/id_106_IMG_20251020_141624_BURST14.jpg,1
train,data/drive/id_106_IMG_20251020_141624_BURST18.jpg,data/drive/id_106_IMG_20251020_141617_BURST14.jpg,1
train,data/drive/id_106_IMG_20251020_141630_BURST16.jpg,data/drive/id_106_IMG_20251020_141624_BURST15.jpg,1
train,data/drive/id_106_IMG_20251020_141617_BURST9.jpg,data/TAMPAR/id_22_20230523_185335.jpg,0
train,data/drive/id_106_IMG_20251020_141617_BURST11.jpg,data/drive/id_503_IMG_20251024_173125090.jpg,0
train,data/drive/id_106_IMG_20251020_141630_BURST7.jpg,data/TAMPAR/id_10_20230523_192010.jpg,0
train,data/drive/id_106_IMG_20251020_141624_BURST7.jpg,data/TAMPAR/id_05_20230523_141408.jpg,0
train,data/drive/id_106_IMG_20251020_141617_BURST1.jpg,data/TAMPAR/id_27_20230524_104006.jpg,0
train,data/drive/id_503_IMG_20251024_172946237.jpg,data/drive/id_503_IMG_20251024_173134403.jpg,1
train,data/drive/id_503_IMG_20251024_172906024.jpg,data/drive/id_503_IMG_20251024_173001020.jpg,1
train,data/drive/id_503_IMG_20251024_172824903.jpg,data/drive/id_503_IMG_20251024_172833986.jpg,1
train,data/drive/id_503_IMG_20251024_172901708.jpg,data/drive/id_503_IMG_20251024_173251760.jpg,1
train,data/drive/id_503_IMG_20251024_172944153.jpg,data/drive/id_503_IMG_20251024_173242523.jpg,1
train,data/drive/id_503_IMG_20251024_172824903.jpg,data/TAMPAR/id_28_20230524_105011.jpg,0
train,data/drive/id_503_IMG_20251024_172826651.jpg,data/TAMPAR/id_19_20230524_100938.jpg,0
train,data/drive/id_503_IMG_20251024_173146197.jpg,data/TAMPAR/id_14_20230524_101948.jpg,0
train,data/drive/id_503_IMG_20251024_172941692.jpg,data/TAMPAR/id_03_20230523_155640.jpg,0
train,data/drive/id_503_IMG_20251024_172841379.jpg,data/drive/id_104_IMG_20240813_161028_783.jpg,0
validation,data/drive/id_103_IMG_20251017_145030(1).jpg,data/drive/id_103_IMG_20251017_145029.jpg,1
validation,data/drive/id_103_IMG_4795.jpg,data/drive/id_103_IMG_20251017_145024.jpg,1
validation,data/drive/id_103_IMG_20251017_145043(1).jpg,data/drive/id_103_IMG_4801.jpg,1
validation,data/drive/id_103_IMG_20251017_145010.jpg,data/drive/id_103_IMG_20251017_145012(1).jpg,1
validation,data/drive/id_103_IMG_20251017_144938.jpg,data/drive/id_103_IMG_20251017_145005.jpg,1
validation,data/drive/id_103_IMG_20251017_145037(1).jpg,data/drive/id_501_IMG_3884(1).jpg,0
validation,data/drive/id_103_IMG_20251017_145043.jpg,data/TAMPAR/id_21_20230523_171806.jpg,0
validation,data/drive/id_103_IMG_20251017_145038.jpg,data/TAMPAR/id_13_20230523_172017.jpg,0
validation,data/drive/id_103_IMG_20251017_144932.jpg,data/TAMPAR/id_06_20230523_162714.jpg,0
validation,data/drive/id_103_IMG_20251017_145042(1).jpg,data/TAMPAR/id_00_20230512_102251.jpg,0
test,data/drive/id_101_IMG_5527.jpg,data/drive/id_101_IMG_5525.jpg,1
test,data/drive/id_101_IMG_5527.jpg,data/drive/id_101_IMG_4774.jpg,1
test,data/drive/id_101_IMG_5527.jpg,data/drive/id_101_IMG_5525.jpg,1
test,data/drive/id_101_IMG_4764.jpg,data/drive/id_101_IMG_4765.jpg,1
test,data/drive/id_101_IMG_4765.jpg,data/drive/id_101_IMG_5525.jpg,1
test,data/drive/id_101_IMG_5526.jpg,data/TAMPAR/id_24_20230524_101750.jpg,0
test,data/drive/id_101_IMG_4765.jpg,data/TAMPAR/id_19_20230523_172935.jpg,0
test,data/drive/id_101_IMG_5526.jpg,data/TAMPAR/id_00_20230523_155115.jpg,0
test,data/drive/id_101_IMG_5525.jpg,data/TAMPAR/id_24_20230523_171651.jpg,0
test,data/drive/id_101_IMG_5521.jpg,data/drive/id_106_IMG_20251020_141630_BURST14.jpg,0
train,data/drive/id_110_signal-2024-08-12-12-08-03-175(1).jpg,data/drive/id_110_IMG_20251012_154929_884.jpg,1
train,data/drive/id_110_signal-2024-08-12-12-08-03-175.jpg,data/drive/id_110_IMG_20251012_154929_884.jpg,1
train,data/drive/id_110_signal-2024-08-12-12-08-03-175.jpg,data/drive/id_110_signal-2024-08-12-12-08-03-175(1).jpg,1
